"計算対象","日付","内容","金額（円）","保有金融機関","大項目","中項目","メモ","振替","ID"
"1","2023/11/30","hoge","-972","hoge","食費","2. コンビニ","hoge","0","hoge"
"1","2023/11/30","hoge","-210","hoge","食費","2. コンビニ","hoge","0","hoge"
"1","2023/11/28","hoge","-3055","hoge","住宅","1.サブスク・通信","hoge","0","hoge"
"1","2023/11/28","hoge","-980","hoge","住宅","1.サブスク・通信","hoge","0","hoge"
"1","2023/11/27","hoge","-15300","hoge","特別な支出","4. 電子機器","hoge","0","hoge"
"0","2023/11/27","hoge","20000","hoge","未分類","未分類","hoge","1","hoge"
"0","2023/11/27","hoge","10000","hoge","未分類","未分類","hoge","1","hoge"
"1","2023/11/26","hoge","733","hoge","収入","ポイント払い","hoge","0","hoge"
"1","2023/11/26","hoge","-2772","hoge","日用品","2. 書籍","hoge","0","hoge"
"0","2023/11/26","hoge","-2039","hoge","交際費","2. 趣味","hoge","1","hoge"
"1","2023/11/26","hoge","-765","hoge","住宅","2. 従量課金料","hoge","0","hoge"
"1","2023/11/25","hoge","-210","hoge","日用品","2. 交通費","hoge","0","hoge"
"1","2023/11/25","hoge","-1630","hoge","日用品","2. 薬・病院","hoge","0","hoge"
"1","2023/11/24","hoge","5887","hoge","収入","立て替え","hoge","0","hoge"
"1","2023/11/24","hoge","222999","hoge","収入","給与","hoge","0","hoge"
"1","2023/11/24","hoge","1262","hoge","収入","立て替え","hoge","0","hoge"
"0","2023/11/23","hoge","-1614","hoge","日用品","その他日用品","hoge","1","hoge"
"0","2023/11/23","hoge","-33800","hoge","日用品","その他日用品","hoge","1","hoge"
"1","2023/11/23","hoge","-33800","hoge","特別な支出","4. 電子機器","hoge","0","hoge"
"1","2023/11/23","hoge","-1614","hoge","日用品","2. 雑貨","hoge","0","hoge"
"1","2023/11/22","hoge","-180","hoge","食費","2. コンビニ","hoge","0","hoge"
"1","2023/11/22","hoge","-140","hoge","食費","2. コンビニ","hoge","0","hoge"
"1","2023/11/21","hoge","-14600","hoge","交際費","2. 趣味","hoge","0","hoge"
"1","2023/11/21","hoge","-1080","hoge","住宅","1.サブスク・通信","hoge","0","hoge"
"1","2023/11/20","hoge","-7800","hoge","交際費","2. 趣味","hoge","0","hoge"
"1","2023/11/20","hoge","-972","hoge","食費","2. コンビニ","hoge","0","hoge"
"1","2023/11/20","hoge","-210","hoge","食費","2. コンビニ","hoge","0","hoge"
"1","2023/11/19","hoge","1800","hoge","収入","立て替え","hoge","0","hoge"
"1","2023/11/18","hoge","-180","hoge","食費","2. コンビニ","hoge","0","hoge"
"1","2023/11/18","hoge","-359","hoge","日用品","2. 交通費","hoge","0","hoge"
"1","2023/11/18","hoge","-193","hoge","食費","2. コンビニ","hoge","0","hoge"
"1","2023/11/18","hoge","-2000","hoge","日用品","2. 薬・病院","hoge","0","hoge"
"1","2023/11/17","hoge","1806","hoge","収入","立て替え","hoge","0","hoge"
"1","2023/11/17","hoge","-6017","hoge","住宅","3. 年会費","hoge","0","hoge"
